# PARITY_LEDGER.txt — the row-per-symbol Parity Ledger (plan §18.1, D6; bead fln-euo).
#
# Row-per-symbol or it is marketing: headline percentages are never accepted as
# evidence. Every row cites its fixtures (validated to exist by the ledger gate in
# fln-conformance) and its evidence freshness. L-levels only ever move on evidence;
# an unclassified divergence BLOCKS the surface's claim (oracle-precedence ladder).
#
# Row grammar (12 '|'-separated fields on one line):
#   row <surface> | <symbol> | <kind> | <semantic-status> | <L-level> | <mode>
#       | <oracle-kind> | <comparison-class> | <fixtures> | <determinism-class>
#       | <claim-state> | <freshness>

schema fln-parity-ledger/1

# ---- meta-api: term-plane observables proven against the pinned binary (p8a) ----------
row meta-api | Lean.Name.hash | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0

# ---- kernel: judgment rules (symbols are KERNEL_CONTRACT.md rule ids; the linkage
# ---- is CI-checked by fln-conformance tests/kernel_contract.rs) -----------------------
row kernel | KR-500 | judgment-rule | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row kernel | KR-501 | judgment-rule | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0

# ---- cli: recognized inventory only (no native binaries exist yet) --------------------
row cli | lean --version | flag | pending | L0 | faithful | pinned-binary | exact | , | D1 | TARGETED | inventory-v4.32.0
row cli | lean --run | flag | pending | L0 | faithful | pinned-binary | exact | , | D1 | TARGETED | inventory-v4.32.0

# ======================================================================================
# fln-core / fln-hash expansion (bead franken_lean-p8a, franken_lean-rps; added by cc_3).
#
# Levels here are earned, not asserted. Two tiers appear below and the difference is the
# ORACLE, not the amount of testing:
#
#   L2  the pinned Reference binary produced the expected value, and
#       crates/fln-conformance/tests/core_observables.rs compares ours to it on every
#       run. The fixture is generated by scripts/extract/gen_core_fixtures.sh (D5) —
#       never hand-written — so these rows move only when the oracle moves.
#   L1  implemented against the pinned SOURCE semantics with in-repo tests, but no
#       Reference-produced value is compared. Real evidence, development-grade: the
#       tests can only prove we match our own reading of upstream.
#
# Most of the rows that were L1 here are now L2: bead fln-it70 added
# crates/fln-core/fixtures/gen_core_ext.lean, ran it under the pinned binary, and
# crates/fln-core/tests/pin_ext_observables.rs compares 533 Reference-produced records
# on every run. That immediately paid for itself — it caught a real divergence in
# Level.geq (fixed in the same change).
#
# FOUR rows are deliberately still L1, because the new fixture does not reach them:
#   Lean.Name.quickCmpAux   — the fixture pins quickCmp/quickLt, not the aux step
#   Lean.KVMap.insertCore   — exercised only through the maps the fixture builds
#   Lean.KVMap.getSyntax    — no syntax handles in the corpus
#   Lean.FileMap.getLine    — our line_of_index is private, so the test cannot call it
# Each rises by adding its cases to gen_core_ext.lean and regenerating against the pin
# (and, for getLine, by deciding whether that accessor should be public API at all).
# ======================================================================================

# ---- meta-api L2: Expr computed observables, compared field-by-field against the pin.
# ---- These were already covered by the oracle but had no rows: the `Lean.Expr.data`
# ---- row above aggregated them, and §18.1 is row-per-symbol.
row meta-api | Lean.Expr.looseBVarRange | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.approxDepth | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.hasFVar | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.hasExprMVar | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.hasLevelMVar | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.hasLevelParam | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0

# ---- meta-api L2: Level accessors, likewise compared field-by-field.
row meta-api | Lean.Level.depth | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Level.hasMVar | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Level.hasParam | function | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0

# ---- meta-api L2: constructors. The claim is the constructor's OBSERVABLE computation
# ---- (the cached data word), which the oracle pins for a case built from each one —
# ---- not that every argument shape has been explored.
row meta-api | Lean.Name.anonymous | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Name.str | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Name.num | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Level.zero | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Level.succ | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Level.max | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Level.imax | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Level.param | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Level.mvar | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.bvar | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.fvar | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.mvar | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.sort | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.const | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.app | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.lam | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.forallE | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.letE | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.lit | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.mdata | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0
row meta-api | Lean.Expr.proj | constructor | native | L2 | faithful | pinned-binary | exact | crates/fln-conformance/fixtures/core_observables.txt | D0 | OBSERVED | core-observables-v4.32.0

# ---- meta-api L1: Name ordering and rendering. Implemented against Name.lean with
# ---- in-repo vectors, deep-input regressions, and old-versus-new comparisons; no
# ---- Reference-produced ordering is compared, so these are NOT L2.
row meta-api | Lean.Name.quickCmp | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Name.quickCmpAux | function | native | L1 | faithful | pinned-source | exact | crates/fln-core/src/name.rs | D0 | OBSERVED | unit-suite-v4.32.0
row meta-api | Lean.Name.quickLt | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Name.toString | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0

# ---- meta-api L1: Level operations beyond the pinned data word. normalize and isEquiv
# ---- are L2 above because the oracle emits their results; these are not in the fixture.
row meta-api | Lean.Level.addOffset | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Level.toNat | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Level.isAlwaysZero | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Level.occurs | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Level.dec | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Level.geq | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | mkLevelMax' | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | mkLevelIMax' | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0

# ---- meta-api L1: KVMap. Ordered-assoc-list semantics (insertion order IS the value),
# ---- implemented against KVMap.lean with in-repo tests.
row meta-api | Lean.KVMap.findCore | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.KVMap.insertCore | function | native | L1 | faithful | pinned-source | exact | crates/fln-core/src/options.rs | D0 | OBSERVED | unit-suite-v4.32.0
row meta-api | Lean.KVMap.erase | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.KVMap.getString | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.KVMap.getNat | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.KVMap.getInt | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.KVMap.getBool | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.KVMap.getName | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.KVMap.getSyntax | function | native | L1 | faithful | pinned-source | exact | crates/fln-core/src/options.rs | D0 | OBSERVED | unit-suite-v4.32.0
row meta-api | Lean.DataValue.sameCtor | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0

# ---- meta-api L1: FileMap. Position mapping drives every diagnostic span, so its
# ---- exactness is load-bearing for the LSP surface later.
row meta-api | Lean.FileMap.ofString | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.FileMap.ofPosition | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.FileMap.lineStart | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.FileMap.getLastLine | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.FileMap.getLine | function | native | L1 | faithful | pinned-source | exact | crates/fln-core/src/pos.rs | D0 | OBSERVED | unit-suite-v4.32.0

# ---- hash: NOT a Reference surface. fln-hash owns BLAKE3 outright (D1: no external
# ---- crate), so the specification it must conform to is the BLAKE3 reference itself,
# ---- and the oracle is that project's published test vectors — 35 cases across all
# ---- three modes plus extended output, with provenance recorded in the fixture header.
# ---- L2 is the ceiling this oracle can earn: a published vector set is a gated corpus,
# ---- not a differential against a live implementation.
row hash | BLAKE3.hash | function | native | L2 | faithful | spec-vectors | exact | crates/fln-hash/fixtures/blake3_vectors.txt | D0 | OBSERVED | blake3-official-vectors
row hash | BLAKE3.keyed_hash | function | native | L2 | faithful | spec-vectors | exact | crates/fln-hash/fixtures/blake3_vectors.txt | D0 | OBSERVED | blake3-official-vectors
row hash | BLAKE3.derive_key | function | native | L2 | faithful | spec-vectors | exact | crates/fln-hash/fixtures/blake3_vectors.txt | D0 | OBSERVED | blake3-official-vectors
row hash | BLAKE3.finalize_xof | function | native | L2 | faithful | spec-vectors | exact | crates/fln-hash/fixtures/blake3_vectors.txt | D0 | OBSERVED | blake3-official-vectors

# ---- hash: host and platform identity (bead fln-laxj). Two claims that are constantly
# ---- conflated and must not be, because one is earned and the other is not.
# ----
# ---- MULTI-HOST, EARNED at L2/OBSERVED. The frozen domain vectors and a LogicalRoot over
# ---- a fixed closure were recomputed on two DISTINCT machines (sensedemobox, a dev box;
# ---- hetzner2, an RCH build worker) and agree exactly. The oracle is our own recorded
# ---- consensus rather than an external specification, which is why L2 is the ceiling
# ---- here as it is for the BLAKE3 rows above. It is re-checked on every host that runs
# ---- the suite, so it is not a one-shot observation.
# ----
# ---- CROSS-PLATFORM, NOT EARNED, recorded BLOCKED at L0. SUITE.lock:26 declares exactly
# ---- one certified target (x86_64-unknown-linux-gnu), so the "certified platform matrix"
# ---- has a single member and cross-platform identity is undefined rather than merely
# ---- untested: there is no second platform to be identical to. More runs on the machines
# ---- above cannot raise this. WHAT WOULD: a second `target` line in SUITE.lock, then an
# ---- agreeing attestation row from that target. A guard in fln-hash's domain.rs asserts
# ---- the attested platform set is a single member, so the day a second platform agrees
# ---- the suite fails and forces this row to be raised deliberately rather than leaving
# ---- new evidence unclaimed.
# ----
# ---- README.md lines 38, 43 and 308 currently state bit-identical artifacts and results
# ---- "across the certified platform matrix" and "across platforms" without qualification.
# ---- On the evidence below that wording is stronger than the matrix permits; reported for
# ---- the README's owner rather than edited from here.
row hash | Domain.vectors.multi-host-identity | property | native | L2 | sound | multi-host-attestation | exact | crates/fln-hash/fixtures/host_attestations.txt | D0 | OBSERVED | hosts-sensedemobox-hetzner2-20260725
row hash | LogicalRoot.multi-host-identity | property | native | L2 | sound | multi-host-attestation | exact | crates/fln-hash/fixtures/host_attestations.txt | D0 | OBSERVED | hosts-sensedemobox-hetzner2-20260725
row hash | LogicalRoot.cross-platform-identity | property | native | L0 | sound | certified-matrix | not-compared | crates/fln-hash/fixtures/host_attestations.txt | D0 | BLOCKED | suite-lock-declares-one-certified-target
row hash | Domain.vectors.cross-platform-identity | property | native | L0 | sound | certified-matrix | not-compared | crates/fln-hash/fixtures/host_attestations.txt | D0 | BLOCKED | suite-lock-declares-one-certified-target

# ---- meta-api L1: the hygiene hooks Vellum needs (bead franken_lean-p8a). Implemented
# ---- against the Prelude grammar `<name>._@.(<module>.<scopes>)*.<mainModule>._hyg.<scopes>`
# ---- with in-repo tests, including deep-chain bounded-stack coverage. Not oracled: the
# ---- fixture generator emits no hygienic names yet.
row meta-api | Lean.Name.appendCore | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Name.hasMacroScopes | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Name.eraseMacroScopes | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0
row meta-api | Lean.Name.simpMacroScopes | function | native | L2 | faithful | pinned-binary | exact | crates/fln-core/fixtures/core_ext_observables.txt,crates/fln-core/tests/pin_ext_observables.rs | D0 | OBSERVED | core-ext-observables-v4.32.0

# ---- meta-api: constructor inventories and option defaults are compared to values
# ---- produced by the unpatched pinned binary wherever the pin is installed; the rigs
# ---- typed-SKIP otherwise. The source census remains supplemental D5/D9 evidence.
row meta-api | Lean.Expr.ctorInventory | census | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/Expr.lean,crates/fln-conformance/tests/pin_ctor_inventory.rs | D0 | OBSERVED | pin-ctor-inventory-v4.32.0
row meta-api | Lean.Level.ctorInventory | census | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/Level.lean,crates/fln-conformance/tests/pin_ctor_inventory.rs | D0 | OBSERVED | pin-ctor-inventory-v4.32.0
row meta-api | Lean.Name.ctorInventory | census | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Init/Prelude.lean,crates/fln-conformance/tests/pin_ctor_inventory.rs | D0 | OBSERVED | pin-ctor-inventory-v4.32.0
row meta-api | Lean.DataValue.ctorInventory | census | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/Data/KVMap.lean,crates/fln-conformance/tests/pin_ctor_inventory.rs | D0 | OBSERVED | pin-ctor-inventory-v4.32.0
row meta-api | maxHeartbeats | option | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/CoreM.lean,crates/fln-conformance/tests/pin_option_defaults.rs | D0 | OBSERVED | pin-option-defaults-v4.32.0
row meta-api | maxRecDepth | option | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Init/Prelude.lean,crates/fln-conformance/tests/pin_option_defaults.rs | D0 | OBSERVED | pin-option-defaults-v4.32.0
row meta-api | synthInstance.maxHeartbeats | option | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/Meta/SynthInstance.lean,crates/fln-conformance/tests/pin_option_defaults.rs | D0 | OBSERVED | pin-option-defaults-v4.32.0
row meta-api | synthInstance.maxSize | option | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/Meta/SynthInstance.lean,crates/fln-conformance/tests/pin_option_defaults.rs | D0 | OBSERVED | pin-option-defaults-v4.32.0
row meta-api | maxSynthPendingDepth | option | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/Meta/Basic.lean,crates/fln-conformance/tests/pin_option_defaults.rs | D0 | OBSERVED | pin-option-defaults-v4.32.0
row meta-api | maxUniverseOffset | option | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/Elab/Level.lean,crates/fln-conformance/tests/pin_option_defaults.rs | D0 | OBSERVED | pin-option-defaults-v4.32.0
row meta-api | exponentiation.threshold | option | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/Util/SafeExponentiation.lean,crates/fln-conformance/tests/pin_option_defaults.rs | D0 | OBSERVED | pin-option-defaults-v4.32.0
row meta-api | maxErrors | option | native | L2 | faithful | pinned-binary | exact | crates/fln-core/tests/pin_inventory_census.rs,vendor/lean4-src/src/Lean/Language/Basic.lean,crates/fln-conformance/tests/pin_option_defaults.rs | D0 | OBSERVED | pin-option-defaults-v4.32.0
